product_id,product_name,category,unit_price,supplier_id
2000.0,Product_0,Food,330.19,1164.0
,Product_1,electronics ,897.3,
2002.0,Product_2,Food ,-47.47,1101.0
2003.0,Product_3,Electronics ,1176.57,1099.0
2004.0,Product_4,ELECTRONICS,1194.98,1199.0
2005.0,Product_5,,457.46,
2006.0,Product_6,Electronics,,1121.0
2007.0,Product_7, Electronics,412.36,1184.0
,Product_8,Clothing ,279.69,1299.0
2009.0,Product_9,,1285.61,1148.0
2010.0,,,618.15,1093.0
2011.0,Product_11,FOOD,1160.04,1295.0
2012.0,Product_12,FOOD,838.16,
2013.0,Product_13, Food,1967.92,1070.0
2014.0,Product_14,electronics,256.64,
2015.0,Product_15,Electronics,902.43,1236.0
2016.0,Product_16,food,1344.94,1012.0
2017.0,Product_17,ELECTRONICS,760.87,1065.0
2018.0,Product_18,ELECTRONICS,1948.13,1266.0
2019.0,Product_19,,1429.87,1074.0
2020.0,Product_20,,1296.82,1065.0
2021.0,Product_21,,1501.97,1041.0
2022.0,Product_22,FOOD,1902.93,1057.0
2023.0,Product_23,FURNITURE,1811.03,1026.0
2024.0,,ELECTRONICS,1434.78,1042.0
2025.0,Product_25,FOOD ,1485.78,1079.0
2026.0,Product_26,Clothing,249.14,1188.0
2027.0,Product_27,electronics,160.72,1138.0
2028.0,Product_28,Electronics,,1143.0
2029.0,Product_29,,-12.35,1284.0
2030.0,Product_30, electronics,938.83,1284.0
,Product_31,Furniture ,381.22,1251.0
2032.0,Product_32,Food ,659.33,1015.0
2033.0,Product_33, Food,1540.4,1062.0
2034.0,Product_34, Food,1879.54,1212.0
2035.0,Product_35, Clothing,98.45,1189.0
2036.0,Product_36,Furniture,1045.2,1065.0
2037.0,Product_37,FOOD,1759.19,1209.0
,Product_38,,119.14,1147.0
2039.0,,Clothing ,1640.25,
2040.0,Product_40,Clothing,683.49,
2041.0,Product_41,Electronics,610.29,1071.0
2042.0,,Food,,1209.0
2043.0,Product_43,FOOD ,361.76,1239.0
2044.0,,electronics,1371.05,1181.0
2045.0,Product_45,CLOTHING,1633.95,1021.0
2046.0,Product_46,Electronics ,34.43,1109.0
2047.0,Product_47,Electronics,1324.29,1115.0
2048.0,Product_48,,1900.68,1072.0
2049.0,Product_49,Food ,204.65,1059.0
2050.0,Product_50, Furniture,1787.25,1043.0
2051.0,Product_51,Electronics ,1169.29,1180.0
,Product_52,,1214.04,
2053.0,Product_53,electronics,1206.54,1021.0
2054.0,Product_54,FOOD ,562.61,1142.0
2055.0,Product_55,clothing,1867.16,1163.0
2056.0,,furniture,1892.07,1242.0
2057.0,,clothing,1231.87,
2058.0,Product_58,Electronics,1556.02,1278.0
2059.0,Product_59,FOOD ,1205.13,1287.0
2060.0,Product_60,Clothing ,,
2061.0,Product_61,FOOD ,1304.68,
2062.0,Product_62, FOOD,1083.65,1124.0
,Product_63,Furniture ,1174.83,1170.0
2064.0,Product_64,furniture,1556.86,
2065.0,Product_65,food,935.85,1064.0
2066.0,Product_66,,,1185.0
2067.0,Product_67,electronics,286.2,
2068.0,Product_68,ELECTRONICS,849.14,1231.0
2069.0,Product_69,food,,
2070.0,Product_70, electronics,1166.22,1047.0
2071.0,Product_71,Electronics,1283.1,1243.0
,Product_72,food,932.52,1185.0
2073.0,Product_73,electronics,1212.27,1148.0
,Product_74,ELECTRONICS,624.49,
