order_id,customer_id,product_id,warehouse_id,order_date,quantity,order_status
50000.0,12498.0,5461.0,313.0,2024-05-06,683.0,
50001.0,12307.0,5911.0,301.0,2021-10-25,939.0,Cancelled 
,11367.0,,322.0,2021-01-16,918.0, PENDING 
50003.0,12450.0,,391.0,2023-09-23,406.0,Pending
50004.0,10656.0,,312.0,2024-11-06,95.0,pending 
50005.0,9302.0,6079.0,381.0,2025-10-17,215.0,
50006.0,11627.0,3407.0,392.0,2025-07-24,542.0,Pending 
50007.0,11946.0,,,,-8.0,PENDING
,11568.0,4251.0,378.0,2025-11-09,197.0,Cancelled
50009.0,12922.0,5706.0,,2021-08-01,,pending 
50010.0,,4892.0,321.0,,47.0,Delivered
50011.0,12831.0,6010.0,346.0,2023-10-26,722.0,Pending 
50012.0,9275.0,6888.0,386.0,2025-09-12,970.0,delivered 
50013.0,10923.0,,392.0,2023-09-10,816.0,Delivered 
,9329.0,6334.0,320.0,2021-03-03,370.0,DELIVERED
50015.0,9322.0,3638.0,378.0,2022-07-08,71.0,PENDING
50016.0,10707.0,2647.0,,2023-10-12,83.0,Pending 
50017.0,11454.0,4249.0,316.0,2025-07-15,569.0, Cancelled
,10700.0,,399.0,2021-10-21,963.0,cancelled
50019.0,12520.0,,,2021-03-30,405.0, Cancelled
50020.0,12483.0,2273.0,385.0,2021-08-25,593.0, PENDING 
50021.0,12730.0,5670.0,341.0,2023-09-01,752.0,Pending 
50022.0,10833.0,5277.0,349.0,2024-09-19,, Delivered
50023.0,12055.0,5281.0,317.0,2025-05-26,283.0,DELIVERED
50024.0,12588.0,3124.0,,2021-10-04,358.0,Delivered 
,12245.0,5358.0,358.0,2025-08-22,,CANCELLED
50026.0,9837.0,,394.0,2022-12-14,327.0,pending 
50027.0,,5010.0,327.0,2024-09-16,154.0,Delivered
50028.0,11276.0,,303.0,2025-06-02,371.0,delivered
50029.0,12875.0,,374.0,2021-01-30,384.0,DELIVERED
50030.0,10076.0,4690.0,,2024-01-21,67.0,Pending 
50031.0,9017.0,4385.0,364.0,2022-05-26,609.0,delivered
50032.0,9141.0,3507.0,344.0,,771.0,PENDING
50033.0,12327.0,5939.0,374.0,2021-12-16,632.0, delivered
,,3946.0,,2023-03-15,604.0,Cancelled 
50035.0,11178.0,6718.0,310.0,2021-08-02,890.0,Pending 
50036.0,,2932.0,,2022-01-07,228.0,delivered
50037.0,10514.0,5855.0,300.0,2025-04-29,345.0, Delivered
50038.0,10828.0,,332.0,2021-09-04,68.0,PENDING  
50039.0,9672.0,2523.0,,2021-03-21,990.0,Cancelled 
50040.0,,3412.0,,2021-02-03,856.0,delivered 
50041.0,10310.0,,309.0,2022-09-19,800.0,DELIVERED
50042.0,10716.0,2705.0,390.0,2025-06-27,711.0, Cancelled
50043.0,10746.0,4287.0,359.0,2025-12-29,978.0,pending 
50044.0,10787.0,,,2023-03-21,435.0,delivered
50045.0,9170.0,5351.0,303.0,2025-01-09,394.0,Cancelled 
50046.0,10636.0,6913.0,397.0,2021-06-03,434.0,delivered
50047.0,12062.0,2428.0,320.0,2025-03-13,542.0, Pending
50048.0,11291.0,3233.0,341.0,2022-09-04,490.0, Cancelled
50049.0,10633.0,4770.0,369.0,2025-10-05,154.0,Delivered
50050.0,9511.0,3820.0,316.0,2022-03-30,914.0,Delivered
50051.0,11456.0,3583.0,344.0,2024-11-20,188.0,DELIVERED
50052.0,10129.0,2878.0,317.0,2024-06-04,608.0,cancelled
50053.0,11266.0,3716.0,,2021-05-18,292.0, PENDING 
50054.0,,5526.0,316.0,2023-11-19,925.0, Cancelled
50055.0,,6401.0,386.0,2023-05-20,350.0,Cancelled 
50056.0,,5028.0,378.0,2024-01-12,292.0,
50057.0,12507.0,2397.0,383.0,2025-04-02,782.0,Cancelled
50058.0,,2080.0,390.0,2023-07-05,483.0,
50059.0,12947.0,2133.0,333.0,2024-11-27,65.0,PENDING
50060.0,11666.0,,341.0,2022-10-15,626.0,Pending
50061.0,12063.0,3552.0,303.0,2021-03-15,800.0,Cancelled
50062.0,11184.0,3467.0,,2025-06-16,245.0, Delivered
50063.0,12980.0,6619.0,309.0,2023-12-08,199.0,cancelled
50064.0,,2924.0,341.0,2024-07-17,,Delivered
50065.0,11298.0,5398.0,339.0,2022-08-10,677.0,PENDING 
,9309.0,2047.0,339.0,2024-08-10,982.0,Delivered
50067.0,12485.0,6468.0,358.0,2025-09-10,485.0, Delivered
